"scenario_id","zone_id","year","total","sector_id","fuel_type_id"
26,1,2037,0.0001826598,2,1
26,1,2038,0.0001826598,2,1
26,1,2039,0.0001826598,2,1
26,1,2040,0.0001826598,2,1
26,1,2041,0.0001826598,2,1
26,1,2042,0.0001633662,2,1
26,1,2043,0.0001633662,2,1
26,1,2044,0.0001633662,2,1
26,1,2045,0.0001633662,2,1
26,1,2046,0.0001633662,2,1
26,1,2047,0.0001440725,2,1
26,1,2048,0.0001440725,2,1
26,1,2049,0.0001440725,2,1
26,1,2050,0.0001440725,2,1
26,1,2011,0.0002580823,2,2
26,1,2012,0.0002477243,2,2
26,1,2013,0.0002477243,2,2
26,1,2014,0.0002477243,2,2
26,1,2015,0.0002477243,2,2
26,1,2016,0.0002477243,2,2
26,1,2017,0.0002373662,2,2
26,1,2018,0.0002373662,2,2
26,1,2019,0.0002373662,2,2
26,1,2020,0.0002373662,2,2
26,1,2021,0.0002373662,2,2
26,1,2022,0.0002270082,2,2
26,1,2023,0.0002270082,2,2
26,1,2024,0.0002270082,2,2
26,1,2025,0.0002270082,2,2
26,1,2026,0.0002270082,2,2
26,1,2027,0.0002166501,2,2
26,1,2028,0.0002166501,2,2
26,1,2029,0.0002166501,2,2
26,1,2030,0.0002166501,2,2
26,1,2031,0.0002166501,2,2
26,1,2032,0.0002062921,2,2
26,1,2033,0.0002062921,2,2
26,1,2034,0.0002062921,2,2
26,1,2035,0.0002062921,2,2
26,1,2036,0.0002062921,2,2
26,1,2037,0.000195934,2,2
26,1,2038,0.000195934,2,2
26,1,2039,0.000195934,2,2
26,1,2040,0.000195934,2,2
26,1,2041,0.000195934,2,2
26,1,2042,0.000185576,2,2
26,1,2043,0.000185576,2,2
26,1,2044,0.000185576,2,2
26,1,2045,0.000185576,2,2
26,1,2046,0.000185576,2,2
26,1,2047,0.0001752179,2,2
26,1,2048,0.0001752179,2,2
26,1,2049,0.0001752179,2,2
26,1,2050,0.0001752179,2,2
26,1,2011,0.0004607344,2,7
26,1,2012,0.0004511873,2,7
26,1,2013,0.0004511873,2,7
26,1,2014,0.0004511873,2,7
