"scenario_id","source_type","target_type","year","total","source_id","target_id"
42,"FuelType","Sector",2017,1.674312,2,2
42,"FuelType","Sector",2018,1.674312,2,2
42,"FuelType","Sector",2019,1.674312,2,2
42,"FuelType","Sector",2020,1.674312,2,2
42,"FuelType","Sector",2021,1.674312,2,2
42,"FuelType","Sector",2022,1.733522,2,2
42,"FuelType","Sector",2023,1.733522,2,2
42,"FuelType","Sector",2024,1.733522,2,2
42,"FuelType","Sector",2025,1.733522,2,2
42,"FuelType","Sector",2026,1.733522,2,2
42,"FuelType","Sector",2027,1.792733,2,2
42,"FuelType","Sector",2028,1.792733,2,2
42,"FuelType","Sector",2029,1.792733,2,2
42,"FuelType","Sector",2030,1.792733,2,2
42,"FuelType","Sector",2031,1.792733,2,2
42,"FuelType","Sector",2032,1.851943,2,2
42,"FuelType","Sector",2033,1.851943,2,2
42,"FuelType","Sector",2034,1.851943,2,2
42,"FuelType","Sector",2035,1.851943,2,2
42,"FuelType","Sector",2036,1.851943,2,2
42,"FuelType","Sector",2037,1.911154,2,2
42,"FuelType","Sector",2038,1.911154,2,2
42,"FuelType","Sector",2039,1.911154,2,2
42,"FuelType","Sector",2040,1.911154,2,2
42,"FuelType","Sector",2041,1.911154,2,2
42,"FuelType","Sector",2042,1.970365,2,2
42,"FuelType","Sector",2043,1.970365,2,2
42,"FuelType","Sector",2044,1.970365,2,2
42,"FuelType","Sector",2045,1.970365,2,2
42,"FuelType","Sector",2046,1.970365,2,2
42,"FuelType","Sector",2047,2.029575,2,2
42,"FuelType","Sector",2048,2.029575,2,2
42,"FuelType","Sector",2049,2.029575,2,2
42,"FuelType","Sector",2050,2.029575,2,2
42,"FuelType","Sector",2011,0.4645202,2,3
42,"FuelType","Sector",2012,0.473284,2,3
42,"FuelType","Sector",2013,0.473284,2,3
42,"FuelType","Sector",2014,0.473284,2,3
42,"FuelType","Sector",2015,0.473284,2,3
42,"FuelType","Sector",2016,0.473284,2,3
42,"FuelType","Sector",2017,0.4799415,2,3
42,"FuelType","Sector",2018,0.4799415,2,3
42,"FuelType","Sector",2019,0.4799415,2,3
42,"FuelType","Sector",2020,0.4799415,2,3
42,"FuelType","Sector",2021,0.4799415,2,3
42,"FuelType","Sector",2022,0.5063363,2,3
42,"FuelType","Sector",2023,0.5063363,2,3
42,"FuelType","Sector",2024,0.5063363,2,3
42,"FuelType","Sector",2025,0.5063363,2,3
42,"FuelType","Sector",2026,0.5063363,2,3
42,"FuelType","Sector",2027,0.5327312,2,3
42,"FuelType","Sector",2028,0.5327312,2,3
42,"FuelType","Sector",2029,0.5327312,2,3
42,"FuelType","Sector",2030,0.5327312,2,3
42,"FuelType","Sector",2031,0.5327312,2,3
42,"FuelType","Sector",2032,0.5591261,2,3
42,"FuelType","Sector",2033,0.5591261,2,3
42,"FuelType","Sector",2034,0.5591261,2,3
42,"FuelType","Sector",2035,0.5591261,2,3
42,"FuelType","Sector",2036,0.5591261,2,3
42,"FuelType","Sector",2037,0.5855209,2,3
42,"FuelType","Sector",2038,0.5855209,2,3
42,"FuelType","Sector",2039,0.5855209,2,3
42,"FuelType","Sector",2040,0.5855209,2,3
42,"FuelType","Sector",2041,0.5855209,2,3
42,"FuelType","Sector",2042,0.6119157,2,3
42,"FuelType","Sector",2043,0.6119157,2,3
42,"FuelType","Sector",2044,0.6119157,2,3
42,"FuelType","Sector",2045,0.6119157,2,3
42,"FuelType","Sector",2046,0.6119157,2,3
42,"FuelType","Sector",2047,0.6383107,2,3
42,"FuelType","Sector",2048,0.6383107,2,3
42,"FuelType","Sector",2049,0.6383107,2,3
42,"FuelType","Sector",2050,0.6383107,2,3
42,"FuelType","Sector",2011,0.009256746,2,6
42,"FuelType","Sector",2012,0.009849825,2,6
42,"FuelType","Sector",2013,0.009849825,2,6
42,"FuelType","Sector",2014,0.009849825,2,6
42,"FuelType","Sector",2015,0.009849825,2,6
42,"FuelType","Sector",2016,0.009849825,2,6
42,"FuelType","Sector",2017,0.009969001,2,6
42,"FuelType","Sector",2018,0.009969001,2,6
42,"FuelType","Sector",2019,0.009969001,2,6
42,"FuelType","Sector",2020,0.009969001,2,6
42,"FuelType","Sector",2021,0.009969001,2,6
42,"FuelType","Sector",2022,0.01463672,2,6
42,"FuelType","Sector",2023,0.01463672,2,6
42,"FuelType","Sector",2024,0.01463672,2,6
42,"FuelType","Sector",2025,0.01463672,2,6
42,"FuelType","Sector",2026,0.01463672,2,6
42,"FuelType","Sector",2027,0.01930444,2,6
42,"FuelType","Sector",2028,0.01930444,2,6
42,"FuelType","Sector",2029,0.01930444,2,6
42,"FuelType","Sector",2030,0.01930444,2,6
42,"FuelType","Sector",2031,0.01930444,2,6
42,"FuelType","Sector",2032,0.02397216,2,6
42,"FuelType","Sector",2033,0.02397216,2,6
42,"FuelType","Sector",2034,0.02397216,2,6
42,"FuelType","Sector",2035,0.02397216,2,6
42,"FuelType","Sector",2036,0.02397216,2,6
42,"FuelType","Sector",2037,0.02863988,2,6
42,"FuelType","Sector",2038,0.02863988,2,6
42,"FuelType","Sector",2039,0.02863988,2,6
42,"FuelType","Sector",2040,0.02863988,2,6
42,"FuelType","Sector",2041,0.02863988,2,6
42,"FuelType","Sector",2042,0.0333076,2,6
42,"FuelType","Sector",2043,0.0333076,2,6
42,"FuelType","Sector",2044,0.0333076,2,6
42,"FuelType","Sector",2045,0.0333076,2,6
42,"FuelType","Sector",2046,0.0333076,2,6
42,"FuelType","Sector",2047,0.03797532,2,6
42,"FuelType","Sector",2048,0.03797532,2,6
42,"FuelType","Sector",2049,0.03797532,2,6
42,"FuelType","Sector",2050,0.03797532,2,6
42,"FuelType","Sector",2011,1.708618,8,1
