"scenario_id","year","total","sector_id","fuel_type_id"
44,2044,10.1907,2,2
44,2045,10.1907,2,2
44,2046,10.1907,2,2
44,2047,10.00682,2,2
44,2048,10.00682,2,2
44,2049,10.00682,2,2
44,2050,10.00682,2,2
44,2011,3.088833,2,8
44,2012,2.969142,2,8
44,2013,2.969142,2,8
44,2014,2.969142,2,8
44,2015,2.969142,2,8
44,2016,2.969142,2,8
44,2017,3.045042,2,8
44,2018,3.045042,2,8
44,2019,3.045042,2,8
44,2020,3.045042,2,8
44,2021,3.045042,2,8
44,2022,3.139255,2,8
44,2023,3.139255,2,8
44,2024,3.139255,2,8
44,2025,3.139255,2,8
44,2026,3.139255,2,8
44,2027,3.231704,2,8
44,2028,3.231704,2,8
44,2029,3.231704,2,8
44,2030,3.231704,2,8
44,2031,3.231704,2,8
44,2032,3.322388,2,8
44,2033,3.322388,2,8
44,2034,3.322388,2,8
44,2035,3.322388,2,8
44,2036,3.322388,2,8
44,2037,3.411308,2,8
44,2038,3.411308,2,8
44,2039,3.411308,2,8
44,2040,3.411308,2,8
44,2041,3.411308,2,8
44,2042,3.386796,2,8
44,2043,3.386796,2,8
44,2044,3.386796,2,8
44,2045,3.386796,2,8
44,2046,3.386796,2,8
44,2047,3.362284,2,8
44,2048,3.362284,2,8
44,2049,3.362284,2,8
44,2050,3.362284,2,8
44,2011,0,2,9
44,2012,0,2,9
44,2013,0,2,9
44,2014,0,2,9
44,2015,0,2,9
44,2016,0,2,9
44,2017,0,2,9
44,2018,0,2,9
44,2019,0,2,9
44,2020,0,2,9
44,2021,0,2,9
44,2022,0,2,9
44,2023,0,2,9
44,2024,0,2,9
44,2025,0,2,9
44,2026,0,2,9
44,2027,0,2,9
44,2028,0,2,9
44,2029,0,2,9
44,2030,0,2,9
44,2031,0,2,9
44,2032,0,2,9
44,2033,0,2,9
44,2034,0,2,9
44,2035,0,2,9
44,2036,0,2,9
44,2037,0,2,9
44,2038,0,2,9
44,2039,0,2,9
44,2040,0,2,9
44,2041,0,2,9
44,2042,0,2,9
44,2043,0,2,9
44,2044,0,2,9
44,2045,0,2,9
44,2046,0,2,9
44,2047,0,2,9
44,2048,0,2,9
44,2049,0,2,9
44,2050,0,2,9
44,2011,0,2,5
44,2012,0.1562706,2,5
44,2013,0.1562706,2,5
44,2014,0.1562706,2,5
44,2015,0.1562706,2,5
44,2016,0.1562706,2,5
44,2017,0.1602654,2,5
44,2018,0.1602654,2,5
44,2019,0.1602654,2,5
44,2020,0.1602654,2,5
44,2021,0.1602654,2,5
44,2022,0.165224,2,5
44,2023,0.165224,2,5
44,2024,0.165224,2,5
44,2025,0.165224,2,5
44,2026,0.165224,2,5
44,2027,0.1700897,2,5
44,2028,0.1700897,2,5
44,2029,0.1700897,2,5
44,2030,0.1700897,2,5
44,2031,0.1700897,2,5
44,2032,0.1748626,2,5
44,2033,0.1748626,2,5
44,2034,0.1748626,2,5
44,2035,0.1748626,2,5
44,2036,0.1748626,2,5
44,2037,0.1795426,2,5
44,2038,0.1795426,2,5
44,2039,0.1795426,2,5
44,2040,0.1795426,2,5
44,2041,0.1795426,2,5
44,2042,0.1782525,2,5
44,2043,0.1782525,2,5
44,2044,0.1782525,2,5
44,2045,0.1782525,2,5
44,2046,0.1782525,2,5
44,2047,0.1769623,2,5
44,2048,0.1769623,2,5
44,2049,0.1769623,2,5
44,2050,0.1769623,2,5
44,2011,0.1977245,3,1
44,2012,0.2016255,3,1
44,2013,0.2016255,3,1
44,2014,0.2016255,3,1
44,2015,0.2016255,3,1
44,2016,0.2016255,3,1
44,2017,0.2044487,3,1
44,2018,0.2044487,3,1
44,2019,0.2044487,3,1
44,2020,0.2044487,3,1
44,2021,0.2044487,3,1
44,2022,0.217417,3,1
44,2023,0.217417,3,1
44,2024,0.217417,3,1
44,2025,0.217417,3,1
44,2026,0.217417,3,1
44,2027,0.2303825,3,1
44,2028,0.2303825,3,1
44,2029,0.2303825,3,1
44,2030,0.2303825,3,1
44,2031,0.2303825,3,1
44,2032,0.2433452,3,1
44,2033,0.2433452,3,1
44,2034,0.2433452,3,1
44,2035,0.2433452,3,1
44,2036,0.2433452,3,1
44,2037,0.2563053,3,1
44,2038,0.2563053,3,1
44,2039,0.2563053,3,1
44,2040,0.2563053,3,1
44,2041,0.2563053,3,1
44,2042,0.2563004,3,1
44,2043,0.2563004,3,1
44,2044,0.2563004,3,1
44,2045,0.2563004,3,1
44,2046,0.2563004,3,1
44,2047,0.2562956,3,1
44,2048,0.2562956,3,1
44,2049,0.2562956,3,1
44,2050,0.2562956,3,1
44,2011,2.843607,3,2
44,2012,2.899728,3,2
44,2013,2.899728,3,2
44,2014,2.899728,3,2
