"population_context_id","zone_id","year","total"
1,12,2041,3186.971
1,12,2042,3205.463
1,12,2043,3223.546
1,12,2044,3241.232
1,12,2045,3258.516
1,12,2046,3275.395
1,12,2047,3291.862
1,12,2048,3307.92
1,12,2049,3323.583
1,12,2050,3338.848
1,13,2011,37290.65
1,13,2012,37679.69
1,13,2013,37936.3
1,13,2014,38315.37
1,13,2015,38697.16
1,13,2016,39086.46
1,13,2017,39475.78
1,13,2018,39856.12
1,13,2019,40231.42
1,13,2020,40603.14
1,13,2021,40971.39
1,13,2022,41334.97
1,13,2023,41694.86
1,13,2024,42051.03
1,13,2025,42400.35
1,13,2026,42744.55
1,13,2027,43081.84
1,13,2028,43412.73
1,13,2029,43737
1,13,2030,44054.63
1,13,2031,44365.57
1,13,2032,44669.83
1,13,2033,44967.43
1,13,2034,45260.14
1,13,2035,45547.14
1,13,2036,45861.18
1,13,2037,46168.84
1,13,2038,46469.56
1,13,2039,46764.02
1,13,2040,47051.64
1,13,2041,47332.53
1,13,2042,47607.16
1,13,2043,47875.74
1,13,2044,48138.4
1,13,2045,48395.11
1,13,2046,48645.79
1,13,2047,48890.36
1,13,2048,49128.86
1,13,2049,49361.47
1,13,2050,49588.2
1,14,2011,15618.34
1,14,2012,15781.28
1,14,2013,15888.75
1,14,2014,16047.52
1,14,2015,16207.42
1,14,2016,16370.47
1,14,2017,16533.53
1,14,2018,16692.83
1,14,2019,16850.01
1,14,2020,17005.7
1,14,2021,17159.93
1,14,2022,17312.21
1,14,2023,17462.94
1,14,2024,17612.12
1,14,2025,17758.42
1,14,2026,17902.58
1,14,2027,18043.85
1,14,2028,18182.43
1,14,2029,18318.25
1,14,2030,18451.28
1,14,2031,18581.51
1,14,2032,18708.94
1,14,2033,18833.58
1,14,2034,18956.18
1,14,2035,19076.38
1,14,2036,19207.91
1,14,2037,19336.77
1,14,2038,19462.72
1,14,2039,19586.04
1,14,2040,19706.51
1,14,2041,19824.15
1,14,2042,19939.18
1,14,2043,20051.66
1,14,2044,20161.67
1,14,2045,20269.19
1,14,2046,20374.18
1,14,2047,20476.61
1,14,2048,20576.5
1,14,2049,20673.93
1,14,2050,20768.88
1,15,2011,2303.875
1,15,2012,2327.911
1,15,2013,2343.764
1,15,2014,2367.184
1,15,2015,2390.771
1,15,2016,2414.823
1,15,2017,2438.876
1,15,2018,2462.374
1,15,2019,2485.561
1,15,2020,2508.526
1,15,2021,2531.277
1,15,2022,2553.74
1,15,2023,2575.974
1,15,2024,2597.979
1,15,2025,2619.561
1,15,2026,2640.826
1,15,2027,2661.664
1,15,2028,2682.107
1,15,2029,2702.141
1,15,2030,2721.764
1,15,2031,2740.975
1,15,2032,2759.773
1,15,2033,2778.159
1,15,2034,2796.243
1,15,2035,2813.974
1,15,2036,2833.376
1,15,2037,2852.384
1,15,2038,2870.963
1,15,2039,2889.155
1,15,2040,2906.925
1,15,2041,2924.278
1,15,2042,2941.246
1,15,2043,2957.839
1,15,2044,2974.066
1,15,2045,2989.926
1,15,2046,3005.413
1,15,2047,3020.524
1,15,2048,3035.258
1,15,2049,3049.629
1,15,2050,3063.637
1,16,2011,4294.924
1,16,2012,4339.732
1,16,2013,4369.287
1,16,2014,4412.945
1,16,2015,4456.918
1,16,2016,4501.756
1,16,2017,4546.595
1,16,2018,4590.401
1,16,2019,4633.625
1,16,2020,4676.438
1,16,2021,4718.852
1,16,2022,4760.726
1,16,2023,4802.176
1,16,2024,4843.198
1,16,2025,4883.431
1,16,2026,4923.074
1,16,2027,4961.92
1,16,2028,5000.03
1,16,2029,5037.379
1,16,2030,5073.961
1,16,2031,5109.773
1,16,2032,5144.817
1,16,2033,5179.093
1,16,2034,5212.805
1,16,2035,5245.86
1,16,2036,5282.029
1,16,2037,5317.464
1,16,2038,5352.099
1,16,2039,5386.013
1,16,2040,5419.14
1,16,2041,5451.491
1,16,2042,5483.122
1,16,2043,5514.055
1,16,2044,5544.307
1,16,2045,5573.873
1,16,2046,5602.744
1,16,2047,5630.913
1,16,2048,5658.382
1,16,2049,5685.173
1,16,2050,5711.285
1,17,2011,13149.19
1,17,2012,13286.37
1,17,2013,13376.85
1,17,2014,13510.52
1,17,2015,13645.14
1,17,2016,13782.42
1,17,2017,13919.7
1,17,2018,14053.81
1,17,2019,14186.14
1,17,2020,14317.22
1,17,2021,14447.07
1,17,2022,14575.27
1,17,2023,14702.17
1,17,2024,14827.76
1,17,2025,14950.94
1,17,2026,15072.31
1,17,2027,15191.24
1,17,2028,15307.92
1,17,2029,15422.26
1,17,2030,15534.26
1,17,2031,15643.9
1,17,2032,15751.19
1,17,2033,15856.13
1,17,2034,15959.34
1,17,2035,16060.54
1,17,2036,16171.27
1,17,2037,16279.76
1,17,2038,16385.8
1,17,2039,16489.63
1,17,2040,16591.05
1,17,2041,16690.09
1,17,2042,16786.93
1,17,2043,16881.63
1,17,2044,16974.25
1,17,2045,17064.77
1,17,2046,17153.16
1,17,2047,17239.4
1,17,2048,17323.5
1,17,2049,17405.52
1,17,2050,17485.47
1,18,2011,28339.67
1,18,2012,28635.33
1,18,2013,28830.34
1,18,2014,29118.42
1,18,2015,29408.57
1,18,2016,29704.43
1,18,2017,30000.3
1,18,2018,30289.35
1,18,2019,30574.56
1,18,2020,30857.06
1,18,2021,31136.91
1,18,2022,31413.22
1,18,2023,31686.72
1,18,2024,31957.4
1,18,2025,32222.87
1,18,2026,32484.46
1,18,2027,32740.78
1,18,2028,32992.25
1,18,2029,33238.69
1,18,2030,33480.07
1,18,2031,33716.38
1,18,2032,33947.61
1,18,2033,34173.77
1,18,2034,34396.22
1,18,2035,34614.34
1,18,2036,34852.99
1,18,2037,35086.8
1,18,2038,35315.34
1,18,2039,35539.12
1,18,2040,35757.7
1,18,2041,35971.17
1,18,2042,36179.88
1,18,2043,36383.99
1,18,2044,36583.61
1,18,2045,36778.7
1,18,2046,36969.2
1,18,2047,37155.07
1,18,2048,37336.32
1,18,2049,37513.1
1,18,2050,37685.4
1,19,2011,13298.52
1,19,2012,13437.25
1,19,2013,13528.77
1,19,2014,13663.95
1,19,2015,13800.1
1,19,2016,13938.93
1,19,2017,14077.77
1,19,2018,14213.41
1,19,2019,14347.25
1,19,2020,14479.81
1,19,2021,14611.13
1,19,2022,14740.79
1,19,2023,14869.13
1,19,2024,14996.15
1,19,2025,15120.73
1,19,2026,15243.48
1,19,2027,15363.76
1,19,2028,15481.76
1,19,2029,15597.4
1,19,2030,15710.67
1,19,2031,15821.56
1,19,2032,15930.06
1,19,2033,16036.19
1,19,2034,16140.58
1,19,2035,16242.93
1,19,2036,16354.92
1,19,2037,16464.64
1,19,2038,16571.88
1,19,2039,16676.89
1,19,2040,16779.46
1,19,2041,16879.63
1,19,2042,16977.57
1,19,2043,17073.35
1,19,2044,17167.02
1,19,2045,17258.56
1,19,2046,17347.96
1,19,2047,17435.18
1,19,2048,17520.23
1,19,2049,17603.19
1,19,2050,17684.04
1,20,2011,22001.08
1,20,2012,22230.61
1,20,2013,22382
1,20,2014,22605.65
1,20,2015,22830.9
1,20,2016,23060.59
1,20,2017,23290.28
1,20,2018,23514.68
1,20,2019,23736.1
1,20,2020,23955.41
1,20,2021,24172.68
1,20,2022,24387.18
1,20,2023,24599.51
1,20,2024,24809.65
1,20,2025,25015.74
1,20,2026,25218.82
1,20,2027,25417.82
1,20,2028,25613.04
1,20,2029,25804.36
1,20,2030,25991.75
1,20,2031,26175.2
1,20,2032,26354.71
1,20,2033,26530.3
1,20,2034,26702.99
1,20,2035,26872.32
1,20,2036,27057.59
1,20,2037,27239.11
1,20,2038,27416.53
1,20,2039,27590.26
1,20,2040,27759.96
1,20,2041,27925.68
1,20,2042,28087.71
1,20,2043,28246.16
1,20,2044,28401.13
1,20,2045,28552.59
1,20,2046,28700.48
1,20,2047,28844.78
1,20,2048,28985.49
1,20,2049,29122.73
1,20,2050,29256.49
1,21,2011,5524.225
1,21,2012,5581.857
1,21,2013,5619.872
1,21,2014,5676.026
1,21,2015,5732.584
1,21,2016,5790.256
1,21,2017,5847.93
1,21,2018,5904.274
1,21,2019,5959.87
1,21,2020,6014.937
1,21,2021,6069.489
1,21,2022,6123.349
1,21,2023,6176.663
1,21,2024,6229.427
1,21,2025,6281.174
1,21,2026,6332.165
1,21,2027,6382.13
1,21,2028,6431.148
1,21,2029,6479.186
1,21,2030,6526.239
1,21,2031,6572.301
1,21,2032,6617.375
1,21,2033,6661.461
1,21,2034,6704.822
1,21,2035,6747.34
1,21,2036,6793.86
1,21,2037,6839.438
1,21,2038,6883.986
1,21,2039,6927.607
1,21,2040,6970.215
1,21,2041,7011.826
1,21,2042,7052.51
1,21,2043,7092.297
1,21,2044,7131.208
1,21,2045,7169.236
1,21,2046,7206.371
1,21,2047,7242.603
1,21,2048,7277.933
1,21,2049,7312.393
1,21,2050,7345.979
1,22,2011,12337.58
1,22,2012,12466.29
1,22,2013,12551.19
1,22,2014,12676.61
1,22,2015,12802.92
1,22,2016,12931.72
1,22,2017,13060.53
1,22,2018,13186.37
1,22,2019,13310.53
1,22,2020,13433.52
1,22,2021,13555.35
1,22,2022,13675.64
1,22,2023,13794.71
1,22,2024,13912.55
1,22,2025,14028.12
1,22,2026,14142
1,22,2027,14253.59
1,22,2028,14363.07
1,22,2029,14470.35
1,22,2030,14575.44
1,22,2031,14678.31
1,22,2032,14778.98
1,22,2033,14877.44
1,22,2034,14974.28
1,22,2035,15069.24
1,22,2036,15173.13
1,22,2037,15274.92
1,22,2038,15374.42
1,22,2039,15471.84
1,22,2040,15567
1,22,2041,15659.93
1,22,2042,15750.79
1,22,2043,15839.65
